 x, y, z
6.23476,25.85962,1.19717
6.22886,25.85509,1.4256
6.21797,25.85135,1.68383
6.20648,25.8484,1.94181
6.19513,25.84558,2.19905
6.18361,25.84309,2.45571
6.1715,25.84166,2.71296
6.15903,25.84094,2.96866
6.14679,25.84043,3.22392
6.13417,25.84036,3.48089
6.12061,25.84132,3.73824
6.10662,25.84277,3.99479
6.09252,25.84425,4.25245
6.07801,25.84605,4.50977
6.06217,25.84855,4.76776
6.04572,25.85088,5.02715
6.02848,25.85313,5.28684
6.01058,25.85534,5.54525
5.99152,25.85786,5.80428
5.97122,25.85939,6.06501
5.94986,25.86064,6.32526
5.92743,25.86166,6.58422
5.90441,25.86261,6.84213
5.87979,25.86235,7.10152
5.8537,25.86062,7.35998
5.82674,25.8585,7.61941
5.79874,25.85554,7.87838
5.76967,25.85116,8.13774
5.73963,25.84572,8.39722
5.70894,25.83924,8.6561
5.67723,25.83172,8.91617
5.64481,25.82279,9.17736
5.61158,25.81218,9.43844
5.57844,25.8012,9.69969
5.5446,25.7896,9.96069
5.51095,25.77627,10.22283
5.47783,25.76134,10.4859
5.44478,25.74657,10.74933
5.4122,25.73106,11.01174
5.37978,25.71452,11.27361
5.34825,25.69696,11.53659
5.31678,25.67925,11.79987
5.28656,25.66099,12.06144
5.25768,25.64192,12.32338
5.22964,25.62194,12.58453
5.20208,25.60227,12.846
5.17662,25.58257,13.10678
5.15316,25.56271,13.36771
5.13077,25.54284,13.62933
5.10996,25.52319,13.89117
5.0918,25.50375,14.15335
5.07556,25.48473,14.41638
5.06223,25.46612,14.67832
5.05173,25.44746,14.93898
5.04311,25.42967,15.19817
5.03665,25.41282,15.45854
5.03419,25.39625,15.71955
5.03473,25.3804,15.97923
5.03698,25.366,16.23918
5.04199,25.3527,16.49833
5.04999,25.33975,16.7574
5.06105,25.3281,17.01749
5.07453,25.31795,17.27744
5.09007,25.30904,17.53592
5.10769,25.3009,17.7942
5.1278,25.29426,18.05349
5.15072,25.28919,18.31205
5.17501,25.28532,18.56918
5.20026,25.28281,18.82688
5.22699,25.28202,19.0851
5.25625,25.28303,19.34247
5.2865,25.28533,19.59947
5.31734,25.28887,19.85732
5.34906,25.29461,20.11324
5.38188,25.3021,20.37038
5.41561,25.31109,20.62812
5.44969,25.32147,20.88454
5.48393,25.33359,21.14131
5.51859,25.34718,21.39844
5.55458,25.36204,21.6565
5.59045,25.37819,21.91403
5.62613,25.39537,22.17197
5.66179,25.41344,22.42963
5.69786,25.43232,22.68773
5.73335,25.45231,22.94408
5.76803,25.47305,23.20102
5.80146,25.4947,23.45839
5.83414,25.51655,23.71823
5.86566,25.53902,23.97656
5.89611,25.56161,24.23443
5.9253,25.58457,24.49372
5.95255,25.60873,24.75378
5.97848,25.63278,25.01296
6.00345,25.65559,25.2731
6.02672,25.67804,25.532
6.04799,25.70111,25.7919
6.06779,25.72339,26.05428
6.08639,25.74426,26.31662
6.10289,25.76397,26.57833
6.11708,25.78266,26.84118
6.12999,25.80013,27.10485
6.14145,25.81585,27.36826
6.15091,25.83064,27.63269
