Time step, vx, vy, vz, normv
0,0.0,0.0,0.0,0.0
1000,-9.802028e-06,-4.394422e-06,0.0002573928,0.0002576169
2000,-1.167777e-05,-2.891661e-06,0.0002583364,0.0002586163
3000,-1.159912e-05,-2.649191e-06,0.0002580948,0.0002583689
4000,-1.175268e-05,-2.636283e-06,0.0002558325,0.0002561159
5000,-1.166518e-05,-2.095157e-06,0.0002570079,0.0002572811
6000,-1.251618e-05,-1.090558e-06,0.0002567603,0.0002570675
7000,-1.239146e-05,-7.029661e-07,0.0002552762,0.0002555777
8000,-1.225718e-05,-3.209854e-07,0.0002549418,0.0002552365
9000,-1.289338e-05,1.984867e-07,0.0002574262,0.0002577489
10000,-1.402123e-05,1.415128e-06,0.000256634,0.0002570207
11000,-1.406153e-05,1.33427e-06,0.0002580726,0.0002584589
12000,-1.417216e-05,1.429032e-06,0.0002573323,0.0002577263
13000,-1.513211e-05,2.186704e-06,0.0002581249,0.0002585773
14000,-1.606667e-05,2.748361e-06,0.0002581789,0.000258693
15000,-1.693745e-05,2.361402e-06,0.0002608357,0.0002613957
16000,-1.758859e-05,2.064859e-06,0.0002595384,0.0002601419
17000,-1.855524e-05,2.745798e-06,0.0002580716,0.0002587524
18000,-1.968708e-05,2.249795e-06,0.0002599348,0.000260689
19000,-2.088132e-05,1.994647e-06,0.0002615602,0.0002624
20000,-2.2195e-05,1.052323e-06,0.0002596502,0.0002605993
21000,-2.256473e-05,1.130604e-06,0.0002582827,0.000259269
22000,-2.38121e-05,7.987692e-07,0.0002581317,0.0002592289
23000,-2.550535e-05,-1.257972e-06,0.0002594233,0.0002606771
24000,-2.647896e-05,-1.611052e-06,0.0002588596,0.0002602153
25000,-2.760727e-05,-2.43377e-06,0.0002597077,0.0002611822
26000,-2.828039e-05,-3.739641e-06,0.000258541,0.00026011
27000,-2.985746e-05,-4.848067e-06,0.0002599311,0.0002616852
28000,-3.047795e-05,-5.673471e-06,0.0002598141,0.0002616572
29000,-3.105931e-05,-7.266222e-06,0.0002588605,0.0002608184
30000,-3.181621e-05,-7.815492e-06,0.0002607903,0.0002628401
31000,-3.289225e-05,-9.74276e-06,0.0002609134,0.000263159
32000,-3.353697e-05,-1.081837e-05,0.0002612981,0.0002636635
33000,-3.36848e-05,-1.128341e-05,0.000260927,0.0002633342
34000,-3.393919e-05,-1.262415e-05,0.0002614459,0.0002639416
35000,-3.33694e-05,-1.445837e-05,0.0002638848,0.0002663789
36000,-3.269075e-05,-1.483671e-05,0.0002638982,0.0002663289
37000,-3.275728e-05,-1.478925e-05,0.0002626702,0.0002651177
38000,-3.251764e-05,-1.587531e-05,0.0002611191,0.0002636145
39000,-3.220062e-05,-1.725488e-05,0.0002635529,0.0002660728
40000,-3.169714e-05,-1.729406e-05,0.0002629742,0.0002654415
41000,-3.082626e-05,-1.787966e-05,0.0002634608,0.00026586
42000,-2.974387e-05,-1.869403e-05,0.0002612555,0.0002636069
43000,-2.858194e-05,-1.989408e-05,0.0002627979,0.0002650951
44000,-2.797486e-05,-1.935033e-05,0.0002613555,0.0002635597
45000,-2.699802e-05,-1.978081e-05,0.000260817,0.0002629557
46000,-2.427495e-05,-2.009635e-05,0.0002604589,0.0002623585
47000,-2.287986e-05,-1.991392e-05,0.0002617559,0.0002635075
48000,-2.18472e-05,-1.990978e-05,0.0002614601,0.0002631256
49000,-1.96312e-05,-1.961172e-05,0.0002618985,0.0002633644
50000,-1.68197e-05,-1.939878e-05,0.0002623768,0.00026363
51000,-1.483827e-05,-1.869547e-05,0.0002631776,0.0002642577
52000,-1.160738e-05,-1.840797e-05,0.0002618971,0.0002627997
53000,-9.522758e-06,-1.862802e-05,0.0002595298,0.0002603717
54000,-7.891112e-06,-1.716388e-05,0.0002594421,0.0002601289
55000,-4.40573e-06,-1.658398e-05,0.0002611427,0.0002617059
56000,-9.148337e-07,-1.6173e-05,0.0002593759,0.0002598812
57000,1.269614e-06,-1.517467e-05,0.0002602752,0.0002607203
58000,3.361988e-06,-1.388445e-05,0.0002595352,0.0002599281
59000,6.610777e-06,-1.324568e-05,0.0002587807,0.0002592038
60000,9.024357e-06,-1.260688e-05,0.0002595531,0.0002600158
61000,1.191544e-05,-1.091379e-05,0.0002603999,0.0002609007
62000,1.45826e-05,-9.286441e-06,0.0002585554,0.0002591328
63000,1.669934e-05,-8.370873e-06,0.0002590741,0.0002597466
64000,1.857257e-05,-7.415214e-06,0.000258525,0.0002592974
65000,2.167702e-05,-5.798335e-06,0.000259747,0.0002607144
66000,2.372686e-05,-4.524209e-06,0.0002570626,0.0002581949
67000,2.527985e-05,-3.38673e-06,0.0002578052,0.0002590638
68000,2.582611e-05,-1.719918e-06,0.0002583807,0.0002596739
69000,2.797312e-05,1.934002e-08,0.0002578546,0.0002593675
70000,2.988312e-05,1.525901e-06,0.0002577288,0.00025946
71000,3.035012e-05,2.760808e-06,0.0002572369,0.0002590359
72000,3.106189e-05,4.405022e-06,0.0002567586,0.0002586682
73000,3.233569e-05,6.670455e-06,0.0002560458,0.0002581657
74000,3.395808e-05,8.282696e-06,0.0002576104,0.0002599709
75000,3.341952e-05,9.82527e-06,0.0002574686,0.0002598143
76000,3.459477e-05,1.104359e-05,0.0002570616,0.000259614
77000,3.404042e-05,1.301841e-05,0.0002568755,0.000259448
